model,classifier,nn_number,epochs,batch-size,learning-rate,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
traditional,svm,-,-,-,-,-,+,+,+,+,+,+,-,-,+,-,0.7206740116655865,0.4448,0.550086569379174,0.6362
traditional,svm,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,0.5691105769230769,0.7576,0.6499656829100892,0.592
traditional,svm,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,0.7823741007194245,0.174,0.2846858638743456,0.5628
traditional,svm,-,-,-,-,-,+,+,+,+,+,-,-,-,-,-,0.6824703680598877,0.4376,0.5332683402388496,0.617
traditional,svm,-,-,-,-,-,+,+,+,+,-,+,-,-,+,-,0.663567693201627,0.4568,0.541104003790571,0.6126
traditional,svm,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,0.6669178598342125,0.354,0.46250326626600463,0.5886
traditional,svm,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,0.633833646028768,0.8108,0.7114777114777115,0.6712
traditional,svm,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,0.6434285714285715,0.4504,0.5298823529411766,0.6004
traditional,svm,-,-,-,-,-,+,+,+,-,+,+,-,-,+,-,0.7671480144404332,0.34,0.47117516629711753,0.6184
traditional,svm,-,-,-,-,-,+,+,+,-,+,+,-,-,-,-,0.6799307958477508,0.3144,0.4299781181619256,0.5832
traditional,svm,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,0.6751787538304392,0.2644,0.37999425122161545,0.5686
traditional,svm,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,0.5122989593188269,0.8664,0.6438763376932223,0.5208
traditional,svm,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,0.6709876543209876,0.4348,0.5276699029126213,0.6108
traditional,svm,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,0.7130434782608696,0.2624,0.38362573099415204,0.5784
traditional,svm,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,0.5078092889436909,0.9884,0.6709204452891664,0.5152
